Model,Test RMSE,Test MAE,Test R2,Test MAPE,CV RMSE,Train Time (s),Inference (ms),Overfitting
Gradient Boosting,40.69657414202423,25.369353818430735,0.8944588811838556,50.53875408645462,43.81540775014784,55.181665897369385,0.035204039679633245,0.05756860098826222
Random Forest,48.74150893170264,32.10957010197441,0.8486076500735633,70.16797339441854,51.44532723665003,35.34726285934448,0.051681730482313365,0.1283547103922269
Ridge Regression,84.13070198367456,65.72287722145715,0.5489600443947805,201.50919744233119,83.63958027399035,0.1880199909210205,0.006247096591525608,0.004347923158271705
